id,region,departement,code Departement ,code_INSEE_Commune,ville,nombre_de_Contribuables,moyenne_Actifs_Euros,moyenne_Impot_Euros,annee,code_Region
145,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,4,ASNIERES,331,2210552,8982,2020,8
146,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,4,ASNIERES,347,2237275,8847,2021,8
147,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,4,ASNIERES,405,2293332,9231,2022,8
148,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,5,AULNAY SOUS BOIS,51,2038816,7385,2019,8
149,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,5,AULNAY SOUS BOIS,53,2137777,8586,2021,8
150,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93,5,AULNAY SOUS BOIS,52,2117325,8186,2022,8
151,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,9,BOIS-COLOMBES,123,1929661,6296,2019,8
152,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,9,BOIS-COLOMBES,133,2024495,6943,2020,8
153,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,9,BOIS-COLOMBES,152,2026579,7022,2021,8
154,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,9,BOIS-COLOMBES,173,2010515,6849,2022,8
155,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,14,BOURG LA REINE,158,2305257,10417,2019,8
156,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,14,BOURG LA REINE,162,2314252,9868,2020,8
157,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,14,BOURG LA REINE,181,2295596,9400,2021,8
158,ILE-DE-FRANCE,HAUTS-DE-SEINE,92,14,BOURG LA REINE,186,2317703,9888,2022,8
159,ILE-DE-FRANCE,ESSONNE,91,114,BRUNOY,56,2215556,9365,2019,8
160,ILE-DE-FRANCE,ESSONNE,91,114,BRUNOY,59,2148390,8575,2020,8
161,ILE-DE-FRANCE,ESSONNE,91,114,BRUNOY,59,2349602,11331,2021,8
162,ILE-DE-FRANCE,ESSONNE,91,114,BRUNOY,64,2234966,9753,2022,8
163,ILE-DE-FRANCE,VAL-DE-MARNE,94,16,CACHAN,51,1901747,6220,2019,8
164,ILE-DE-FRANCE,VAL-DE-MARNE,94,16,CACHAN,51,1982763,6764,2020,8
165,ILE-DE-FRANCE,VAL-DE-MARNE,94,16,CACHAN,60,2015517,7102,2021,8
166,ILE-DE-FRANCE,VAL-DE-MARNE,94,16,CACHAN,61,2048501,7170,2022,8
167,ILE-DE-FRANCE,VAL-DE-MARNE,94,17,CHAMPIGNY SUR MARNE,63,2116037,8820,2019,8
168,ILE-DE-FRANCE,VAL-DE-MARNE,94,17,CHAMPIGNY SUR MARNE,62,2106021,8677,2020,8
169,ILE-DE-FRANCE,VAL-DE-MARNE,94,17,CHAMPIGNY SUR MARNE,70,2128889,8654,2021,8
170,ILE-DE-FRANCE,VAL-DE-MARNE,94,17,CHAMPIGNY SUR MARNE,76,2167405,8917,2022,8
171,ILE-DE-FRANCE,VAL-DE-MARNE,94,18,CHARENTON LE PONT,199,2127499,8110,2019,8
